,Avg sleep time,Avg study time,Avg video game time,BMI,In a relationship,Family financial status,GPA,Laptop brand,TOEIC grade,IQ,Grade
3659,7,5,1,27.0,No,high,2.4000000000000004,HP,535,119,80+
3660,5,3,1,33.0,No,high,2.7,HP,705,123,60~80
3661,6,3,7,32.0,Yes,average,4.0,Apple,705,100,80+
3662,8,11,0,28.0,Yes,average,3.5,Apple,175,128,80+
3663,6,8,5,19.0,No,high,3.7,Acer,670,146,80+
3664,12,8,12,27.0,No,high,2.7,Apple,300,110,80+
3665,4,4,10,31.0,No,average,3.3000000000000003,Leveno,485,105,60-
3666,8,2,9,22.0,Yes,high,1.9000000000000001,Apple,25,111,80+
3667,5,8,7,24.0,Yes,average,2.8000000000000003,Leveno,730,122,60-
3668,7,11,2,21.0,No,low,4.1000000000000005,HP,580,144,80+
3669,11,8,0,31.0,Yes,low,1.8,Asus,765,112,60-
3670,8,2,2,26.0,Yes,high,2.1,Acer,300,120,60-
3671,8,2,2,20.0,No,high,4.0,HP,320,104,80+
3672,6,8,1,21.0,No,high,2.0,HP,600,127,80+
3673,8,3,2,34.0,Yes,high,3.5,Dell,610,126,80+
3674,10,5,1,24.0,No,low,2.4000000000000004,HP,285,123,60~80
3675,7,6,0,26.0,No,low,3.1,Asus,625,120,60-
3676,4,12,0,21.0,Yes,average,3.5,Apple,405,141,60~80
3677,7,3,3,22.0,No,low,3.2,Asus,400,119,60-
3678,4,3,0,30.0,Yes,average,2.6,HP,735,127,80+
3679,7,5,1,28.0,Yes,high,3.8000000000000003,Asus,620,132,80+
3680,4,3,12,23.0,No,average,1.8,Leveno,140,110,60-
3681,5,6,0,29.0,No,high,3.6,Dell,530,114,60~80
3682,7,4,1,35.0,Yes,low,3.4000000000000004,Dell,570,135,60~80
3683,7,5,0,34.0,Yes,high,3.9000000000000004,Dell,405,134,80+
3684,6,4,12,32.0,No,high,3.3000000000000003,Dell,570,147,60-
3685,7,5,5,33.0,No,average,2.0,Dell,685,111,60~80
3686,7,2,7,23.0,No,high,3.3000000000000003,Leveno,540,145,60-
3687,4,8,11,20.0,No,high,3.8000000000000003,Dell,500,133,80+
3688,5,6,10,29.0,No,high,3.1,Acer,285,147,60-
3689,7,13,2,24.0,Yes,low,2.8000000000000003,Acer,535,116,60-
3690,5,6,0,32.0,No,low,3.0,Leveno,275,140,60~80
3691,7,0,3,31.0,No,high,3.6,Apple,315,145,80+
3692,4,3,0,27.0,No,low,2.3000000000000003,Asus,320,134,80+
3693,4,5,10,25.0,No,average,2.8000000000000003,Acer,695,148,60~80
3694,12,2,0,33.0,No,average,2.0,Dell,210,147,80+
3695,8,3,0,29.0,Yes,high,2.3000000000000003,Apple,360,112,80+
3696,6,4,8,27.0,Yes,low,3.9000000000000004,Dell,725,110,80+
3697,6,4,1,27.0,Yes,high,3.7,Apple,530,114,80+
3698,8,5,2,19.0,No,high,3.7,Apple,350,125,80+
3699,6,7,10,35.0,Yes,average,4.0,Apple,935,102,80+
3700,7,4,4,25.0,Yes,high,2.7,Asus,345,143,60-
3701,7,4,6,19.0,Yes,high,2.6,HP,685,126,60-
3702,5,4,0,31.0,No,low,2.0,Dell,165,104,60-
3703,5,3,10,26.0,Yes,low,2.9000000000000004,Acer,570,102,60-
3704,4,5,2,31.0,Yes,high,2.9000000000000004,Acer,390,128,80+
3705,6,3,0,29.0,Yes,average,1.8,HP,635,140,60~80
3706,6,2,6,30.0,No,low,2.4000000000000004,Acer,615,116,60-
3707,6,3,1,22.0,No,low,3.3000000000000003,Acer,595,117,60~80
3708,7,7,0,25.0,No,low,3.5,Apple,555,113,60~80
3709,7,3,1,30.0,No,low,3.7,Apple,375,100,80+
3710,8,1,6,34.0,No,low,3.4000000000000004,Asus,0,105,60-
3711,6,2,2,22.0,No,high,2.8000000000000003,Apple,220,153,80+
3712,3,3,4,29.0,No,high,2.4000000000000004,Leveno,475,125,60-
3713,7,2,0,28.0,Yes,low,3.5,Apple,125,141,80+
3714,7,5,13,30.0,No,high,2.0,HP,565,125,80+
3715,6,6,2,20.0,No,average,2.1,Leveno,500,141,60-
3716,3,4,0,33.0,Yes,average,1.8,Dell,775,110,60-
3717,6,6,1,32.0,Yes,average,1.9000000000000001,HP,25,119,60~80
3718,6,13,13,34.0,Yes,high,4.1000000000000005,Dell,620,108,80+
3719,10,3,2,19.0,Yes,high,1.8,HP,550,146,60-
3720,9,2,1,23.0,Yes,average,2.8000000000000003,Apple,165,115,60-
3721,5,6,2,29.0,Yes,low,3.1,Acer,345,104,60-
3722,6,8,2,25.0,No,average,2.9000000000000004,Dell,740,104,80+
3723,3,4,9,35.0,Yes,low,2.2,Dell,735,119,60-
3724,6,2,1,32.0,Yes,high,4.1000000000000005,Acer,550,137,80+
3725,5,4,2,29.0,No,high,3.8000000000000003,HP,480,117,80+
3726,5,4,0,24.0,Yes,high,1.8,Leveno,160,130,60-
3727,9,6,1,19.0,Yes,high,3.4000000000000004,HP,385,119,60-
3728,7,7,4,30.0,Yes,high,4.2,Asus,750,125,80+
3729,8,5,1,23.0,Yes,average,2.3000000000000003,Leveno,310,129,60~80
3730,7,6,0,22.0,No,average,3.1,Leveno,775,140,60-
3731,5,5,9,20.0,Yes,low,3.9000000000000004,Dell,620,119,80+
3732,9,3,2,27.0,Yes,low,4.0,Dell,305,136,80+
3733,8,6,2,24.0,Yes,average,2.2,Acer,600,133,80+
3734,7,5,2,23.0,No,average,3.0,HP,725,133,60~80
3735,3,3,0,32.0,No,low,3.4000000000000004,Acer,0,146,80+
3736,5,5,12,21.0,Yes,high,2.6,Acer,475,147,60-
3737,6,4,1,29.0,No,high,2.7,Apple,895,111,80+
3738,7,3,0,34.0,No,average,3.4000000000000004,Apple,115,122,60~80
3739,8,3,11,23.0,Yes,average,3.4000000000000004,Asus,790,138,60-
3740,7,6,0,35.0,No,low,1.8,Apple,825,139,80+
3741,7,7,8,27.0,No,high,3.6,Apple,765,103,80+
3742,4,5,1,20.0,No,low,3.8000000000000003,Apple,305,101,80+
3743,8,5,7,26.0,No,high,2.1,Asus,625,145,60~80
3744,7,2,5,26.0,Yes,high,1.8,Leveno,475,122,60-
3745,10,4,2,26.0,No,high,3.9000000000000004,Dell,325,136,80+
3746,10,6,0,19.0,No,high,3.4000000000000004,Leveno,395,116,60~80
3747,6,5,4,28.0,Yes,high,1.9000000000000001,Acer,470,140,60~80
3748,8,2,2,27.0,Yes,high,2.4000000000000004,Apple,610,101,80+
3749,6,4,2,35.0,No,high,2.3000000000000003,Asus,65,133,80+
3750,9,3,10,34.0,Yes,low,4.1000000000000005,Asus,460,147,80+
3751,4,6,0,25.0,Yes,high,3.5,Apple,415,127,80+
3752,5,5,10,27.0,Yes,average,2.7,Acer,570,145,60-
3753,8,3,2,35.0,Yes,high,4.1000000000000005,Apple,865,136,80+
3754,8,1,0,22.0,No,high,2.2,HP,420,105,60-
3755,7,3,1,21.0,No,high,2.0,Apple,595,105,80+
3756,7,3,2,34.0,Yes,low,2.0,Asus,355,135,80+
3757,7,3,2,30.0,No,low,3.6,Leveno,880,105,60-
3758,9,7,5,19.0,Yes,average,3.5,Leveno,445,143,60-
3759,8,6,2,35.0,Yes,average,3.0,Acer,510,105,80+
3760,11,4,2,29.0,Yes,average,2.2,Dell,240,148,80+
3761,10,2,3,28.0,No,average,4.3,Apple,600,127,80+
3762,5,5,11,24.0,No,low,4.1000000000000005,Dell,450,121,80+
3763,6,4,12,19.0,No,high,2.1,Leveno,970,101,60~80
3764,8,9,6,28.0,No,average,2.1,Apple,510,117,80+
3765,7,3,9,30.0,No,low,3.2,Asus,620,130,60-
3766,8,1,12,22.0,Yes,average,3.8000000000000003,Acer,25,144,80+
3767,4,8,1,35.0,Yes,average,4.1000000000000005,HP,990,141,80+
3768,4,5,6,30.0,Yes,average,3.5,Asus,730,106,60-
3769,6,4,7,33.0,No,high,3.7,Apple,200,144,80+
3770,5,6,10,19.0,Yes,low,2.7,Apple,290,100,60-
3771,7,5,12,27.0,Yes,average,4.0,Leveno,420,111,80+
3772,8,4,8,26.0,Yes,high,2.4000000000000004,Dell,320,144,60-
3773,10,2,11,20.0,Yes,low,3.3000000000000003,Dell,505,149,60-
3774,7,4,13,21.0,No,low,3.5,Leveno,345,102,60-
3775,7,3,13,25.0,No,high,1.8,Asus,735,142,60-
3776,10,3,9,24.0,No,high,2.0,Leveno,385,117,60-
3777,5,3,0,27.0,No,low,3.7,HP,990,130,80+
3778,6,6,2,31.0,No,high,3.7,Dell,535,135,80+
3779,5,4,8,22.0,Yes,average,3.5,HP,690,107,60-
3780,8,4,6,23.0,Yes,high,2.9000000000000004,HP,710,140,60-
3781,5,6,6,21.0,Yes,average,2.9000000000000004,Dell,525,117,60-
3782,10,5,3,24.0,Yes,high,2.9000000000000004,Acer,350,131,80+
3783,9,2,6,33.0,No,average,3.0,Leveno,295,107,60-
3784,8,3,8,30.0,No,high,3.9000000000000004,HP,275,133,80+
3785,6,2,3,24.0,No,average,3.9000000000000004,Leveno,190,127,80+
3786,5,3,2,19.0,No,low,2.2,Asus,695,134,80+
3787,6,7,0,33.0,Yes,average,4.2,Leveno,695,147,80+
3788,7,5,6,32.0,No,low,2.7,Leveno,635,115,60~80
3789,9,2,12,19.0,No,low,3.4000000000000004,Acer,445,118,60-
3790,6,6,1,35.0,No,average,4.0,Dell,245,124,80+
3791,7,4,4,19.0,Yes,low,3.7,Apple,325,103,80+
3792,6,3,1,29.0,No,high,2.1,HP,655,104,60~80
3793,10,4,5,31.0,Yes,average,2.8000000000000003,Dell,470,118,60-
3794,8,4,0,32.0,No,high,1.9000000000000001,Apple,265,124,80+
3795,10,4,1,19.0,Yes,average,3.8000000000000003,Asus,85,135,80+
3796,6,8,8,34.0,No,average,3.7,HP,370,119,80+
3797,10,2,1,29.0,No,average,2.0,Asus,175,105,60~80
3798,3,5,8,28.0,No,high,2.1,HP,395,111,60-
3799,5,2,2,30.0,Yes,high,1.9000000000000001,Leveno,270,147,80+
3800,6,6,2,20.0,No,high,2.4000000000000004,Acer,380,109,60-
3801,7,5,12,35.0,No,high,2.7,Apple,335,124,80+
3802,8,4,3,20.0,Yes,average,1.9000000000000001,Acer,760,128,60~80
3803,7,3,7,35.0,Yes,low,3.5,HP,265,106,60-
3804,6,2,8,32.0,No,high,4.0,Apple,485,112,80+
3805,4,4,1,19.0,Yes,low,3.2,Asus,770,129,80+
3806,6,6,0,19.0,Yes,low,3.6,Asus,665,125,60-
3807,7,3,10,35.0,No,high,4.2,Dell,490,130,80+
3808,6,5,3,22.0,No,high,2.3000000000000003,HP,490,123,60-
3809,6,7,2,30.0,No,average,2.8000000000000003,Asus,535,141,60~80
3810,7,6,11,26.0,No,average,1.8,Acer,540,149,60-
3811,6,5,12,23.0,No,average,2.3000000000000003,Dell,670,118,60-
3812,7,4,7,21.0,Yes,low,2.7,HP,310,103,60-
3813,6,4,2,35.0,No,high,3.6,Asus,415,108,60~80
3814,7,2,2,28.0,Yes,high,2.8000000000000003,HP,470,130,60-
3815,5,8,0,27.0,Yes,low,3.9000000000000004,Acer,570,103,80+
3816,3,6,0,31.0,No,high,3.2,Apple,515,144,80+
3817,4,2,3,24.0,Yes,average,4.1000000000000005,Dell,470,147,80+
3818,3,5,0,21.0,Yes,high,3.8000000000000003,Acer,675,122,80+
3819,7,4,11,32.0,Yes,average,4.0,Dell,100,128,80+
3820,8,3,1,30.0,Yes,average,2.9000000000000004,Acer,425,104,80+
3821,4,3,6,35.0,No,average,2.7,Acer,565,143,60-
3822,7,3,2,28.0,Yes,high,4.3,Dell,275,137,80+
3823,10,10,0,21.0,Yes,high,3.2,Acer,965,156,80+
3824,7,8,0,19.0,Yes,average,3.2,Asus,610,134,60-
3825,6,4,1,32.0,Yes,low,1.8,HP,390,131,60~80
3826,7,3,2,32.0,No,low,3.8000000000000003,HP,705,114,80+
3827,7,2,4,32.0,Yes,average,2.9000000000000004,Apple,265,122,60~80
3828,8,3,1,22.0,No,low,4.2,Acer,485,126,80+
3829,5,3,13,21.0,No,low,3.3000000000000003,Acer,645,133,60-
3830,7,3,1,31.0,Yes,low,4.0,Acer,170,155,80+
3831,6,4,4,35.0,No,average,2.6,HP,465,130,60~80
3832,5,2,0,27.0,No,low,2.8000000000000003,HP,560,118,60-
3833,6,3,13,25.0,Yes,low,2.8000000000000003,Acer,485,112,60-
3834,7,4,3,34.0,No,high,2.3000000000000003,Acer,990,102,60~80
3835,5,3,3,23.0,Yes,high,4.2,Dell,245,137,80+
3836,12,8,5,35.0,Yes,average,2.1,Apple,395,129,60-
3837,7,3,2,25.0,No,high,2.8000000000000003,Asus,620,118,80+
3838,11,7,0,26.0,Yes,high,2.4000000000000004,Asus,815,147,60-
3839,8,4,1,35.0,No,low,4.3,Apple,825,109,80+
3840,8,5,6,26.0,Yes,high,2.8000000000000003,Acer,670,121,60-
3841,4,6,12,23.0,No,high,2.2,Leveno,555,120,80+
3842,9,1,11,35.0,No,low,2.0,Asus,655,105,60-
3843,8,5,3,31.0,No,average,2.7,Asus,300,108,60-
3844,7,5,7,25.0,No,low,2.7,Apple,780,140,60~80
3845,5,3,5,23.0,No,high,4.0,Acer,990,134,80+
3846,6,4,0,29.0,Yes,low,3.2,Dell,640,127,60~80
3847,7,3,12,24.0,Yes,high,3.3000000000000003,Leveno,535,133,60-
3848,7,3,12,22.0,No,low,2.7,Asus,295,137,60-
3849,7,1,5,31.0,Yes,average,3.1,Apple,580,124,60-
3850,6,3,0,25.0,Yes,low,3.8000000000000003,Acer,0,122,80+
3851,9,3,0,20.0,No,average,3.3000000000000003,Leveno,250,110,80+
3852,9,14,2,26.0,Yes,low,4.1000000000000005,Asus,410,123,80+
3853,6,4,0,30.0,Yes,high,2.6,Dell,55,124,60~80
3854,7,7,2,27.0,No,low,1.9000000000000001,Apple,625,147,80+
3855,5,6,1,33.0,Yes,average,2.5,Apple,625,114,60~80
3856,5,5,5,29.0,Yes,average,3.7,HP,460,106,80+
3857,7,8,2,33.0,Yes,average,2.6,HP,225,148,80+
3858,5,3,0,23.0,No,average,2.2,Acer,20,112,60-
3859,6,4,1,30.0,Yes,low,2.3000000000000003,Dell,595,105,60-
3860,8,3,2,23.0,Yes,average,2.3000000000000003,HP,465,131,60-
3861,8,3,0,24.0,No,low,1.9000000000000001,HP,440,129,60~80
3862,5,2,0,22.0,No,high,2.2,HP,435,126,80+
3863,7,5,7,31.0,No,low,2.6,Leveno,735,123,60~80
3864,5,3,2,30.0,No,low,3.4000000000000004,Apple,725,145,60-
3865,5,4,0,25.0,No,average,2.7,Acer,510,114,60~80
3866,6,2,5,35.0,Yes,low,3.2,Acer,610,108,60-
3867,8,4,8,20.0,Yes,average,2.3000000000000003,Apple,530,115,60-
3868,5,2,2,31.0,No,average,3.8000000000000003,HP,740,123,80+
3869,7,3,5,19.0,Yes,average,3.5,Apple,605,126,60-
3870,7,8,12,31.0,Yes,average,3.3000000000000003,Acer,515,124,60-
3871,7,2,4,24.0,Yes,low,3.3000000000000003,Acer,550,143,60~80
3872,4,8,4,22.0,Yes,average,2.0,HP,560,101,80+
3873,9,7,0,33.0,No,low,3.1,Leveno,145,137,60-
3874,8,3,0,35.0,No,low,2.6,HP,730,106,80+
3875,6,4,12,32.0,Yes,high,1.8,Acer,410,106,60-
3876,5,4,3,19.0,No,average,2.0,Asus,590,126,60~80
3877,5,2,0,29.0,Yes,high,2.3000000000000003,Dell,350,138,60-
3878,9,8,4,23.0,No,high,3.7,HP,40,138,80+
3879,5,3,12,35.0,No,high,4.3,Acer,665,125,80+
3880,5,4,0,27.0,Yes,high,3.9000000000000004,Acer,450,136,80+
3881,9,12,3,34.0,Yes,average,1.8,Dell,460,104,60-
3882,6,3,3,29.0,Yes,low,3.9000000000000004,Apple,265,134,80+
3883,7,6,2,30.0,Yes,average,2.6,Asus,695,102,60~80
3884,8,3,13,20.0,Yes,average,3.8000000000000003,Asus,680,134,80+
3885,8,4,13,29.0,Yes,high,3.9000000000000004,Leveno,740,147,80+
3886,7,3,0,24.0,Yes,low,3.4000000000000004,Acer,675,133,80+
3887,8,8,6,34.0,No,high,3.5,Asus,475,144,60-
3888,5,2,0,20.0,Yes,high,3.4000000000000004,Apple,760,145,80+
3889,7,3,0,33.0,No,average,2.6,Apple,545,145,60~80
3890,6,5,5,32.0,Yes,low,3.3000000000000003,HP,695,108,60-
3891,6,4,1,19.0,No,average,4.2,Acer,660,100,80+
3892,7,4,0,35.0,Yes,average,3.8000000000000003,Dell,30,112,80+
3893,8,3,12,30.0,Yes,average,1.9000000000000001,Acer,745,122,60-
3894,9,4,3,32.0,Yes,high,3.2,Apple,840,126,80+
3895,8,12,1,35.0,Yes,average,2.5,Apple,735,113,60~80
3896,8,7,0,22.0,Yes,average,4.3,HP,270,102,80+
3897,7,7,10,34.0,Yes,low,2.5,Asus,440,148,60-
3898,7,3,0,19.0,No,low,2.0,Dell,455,133,60-
3899,5,2,0,30.0,Yes,low,3.4000000000000004,Acer,295,102,80+
3900,6,3,2,28.0,No,high,4.1000000000000005,Leveno,275,133,80+
3901,6,5,0,23.0,Yes,average,2.1,HP,605,101,80+
3902,8,7,9,20.0,Yes,low,3.0,Apple,495,125,60-
3903,5,7,5,32.0,Yes,low,3.7,Apple,575,137,80+
3904,8,3,12,28.0,No,low,1.9000000000000001,Acer,820,137,60-
3905,8,7,8,34.0,No,low,3.1,Apple,545,110,60~80
3906,7,5,0,22.0,Yes,high,3.5,Dell,60,123,80+
3907,6,2,1,20.0,No,low,3.9000000000000004,Leveno,290,137,80+
3908,6,8,0,22.0,No,low,4.3,Dell,990,110,80+
3909,11,4,1,24.0,No,average,2.8000000000000003,Leveno,270,112,80+
3910,6,10,2,19.0,No,average,3.7,Acer,355,132,80+
3911,6,2,7,33.0,Yes,average,4.2,Asus,445,119,80+
3912,8,7,13,31.0,Yes,low,1.9000000000000001,Asus,325,117,60-
3913,3,4,2,19.0,No,average,2.8000000000000003,Leveno,400,142,80+
3914,10,2,12,27.0,No,low,2.6,Dell,365,112,60-
3915,4,3,5,29.0,No,high,3.6,Apple,255,121,80+
3916,3,6,2,20.0,Yes,average,3.1,Apple,620,131,60-
3917,6,3,13,25.0,Yes,high,3.1,Acer,795,135,60-
3918,9,3,1,26.0,Yes,average,2.0,HP,300,102,60-
3919,6,3,10,33.0,No,low,4.2,Leveno,165,148,80+
3920,5,4,2,32.0,No,low,4.3,Asus,565,112,80+
3921,6,5,12,34.0,Yes,low,3.6,Dell,500,115,60-
3922,7,4,10,21.0,Yes,average,1.8,HP,560,123,60-
3923,7,2,3,34.0,No,low,2.6,Dell,200,111,60~80
3924,9,6,1,26.0,No,high,3.3000000000000003,Leveno,360,100,60-
3925,7,4,3,24.0,Yes,high,2.9000000000000004,HP,260,139,60-
3926,7,6,12,28.0,Yes,low,3.0,Asus,295,107,60-
3927,7,7,4,19.0,No,high,2.1,Asus,380,122,60~80
3928,8,5,8,22.0,Yes,average,4.0,Acer,335,108,80+
3929,7,2,9,29.0,No,average,2.8000000000000003,HP,370,133,60-
3930,5,2,1,24.0,Yes,average,3.4000000000000004,Apple,355,148,60-
3931,7,5,0,21.0,No,low,3.2,Asus,475,107,60-
3932,7,8,1,25.0,No,average,3.8000000000000003,HP,885,100,80+
3933,6,13,3,34.0,Yes,average,1.9000000000000001,HP,530,133,60-
3934,7,3,12,24.0,Yes,low,4.1000000000000005,Asus,325,108,80+
3935,6,3,0,25.0,Yes,low,3.7,Dell,610,146,80+
3936,10,4,2,30.0,Yes,average,3.7,Dell,990,127,80+
3937,10,3,6,31.0,Yes,average,3.9000000000000004,Dell,160,121,80+
3938,7,3,0,31.0,Yes,average,1.8,Acer,990,104,60~80
3939,6,4,1,27.0,Yes,low,1.8,HP,225,126,60-
3940,5,3,0,30.0,No,low,1.9000000000000001,Acer,165,131,60~80
3941,7,2,7,26.0,Yes,low,2.7,Leveno,130,136,60-
3942,6,8,5,35.0,Yes,low,1.9000000000000001,Asus,700,147,60-
3943,7,6,3,28.0,No,high,3.8000000000000003,Leveno,825,163,80+
3944,7,8,6,28.0,No,high,2.6,Apple,295,149,80+
3945,10,4,2,30.0,Yes,low,2.6,Asus,570,139,60~80
3946,8,3,5,23.0,No,high,2.5,Apple,260,129,80+
3947,7,1,3,26.0,No,low,4.2,Acer,215,120,80+
3948,8,4,2,33.0,Yes,low,2.6,Leveno,585,146,60-
3949,7,2,0,26.0,No,low,4.3,HP,645,107,80+
3950,10,1,11,31.0,Yes,low,3.6,HP,455,105,60-
3951,6,3,13,24.0,Yes,low,2.9000000000000004,Dell,865,127,60~80
3952,8,5,1,35.0,No,low,2.5,Dell,930,110,60~80
3953,8,2,1,29.0,No,low,2.2,Leveno,635,107,80+
3954,7,7,11,25.0,No,average,4.3,Asus,770,144,80+
3955,6,6,10,21.0,No,high,2.9000000000000004,Acer,400,146,60~80
3956,6,4,3,20.0,No,average,3.0,Dell,205,128,60-
3957,6,3,1,21.0,Yes,high,4.0,HP,450,118,80+
3958,9,5,9,26.0,No,high,4.3,Leveno,215,124,80+
3959,7,2,1,23.0,Yes,high,3.1,Apple,725,121,80+
3960,9,5,0,24.0,Yes,high,2.0,Asus,590,100,60~80
3961,6,6,1,23.0,No,average,2.8000000000000003,Acer,360,148,80+
3962,6,4,3,22.0,Yes,low,4.1000000000000005,Acer,410,142,80+
3963,8,7,11,19.0,No,high,2.4000000000000004,Asus,410,119,60~80
3964,7,3,0,20.0,No,average,1.9000000000000001,Acer,785,144,60~80
3965,8,3,0,25.0,No,average,2.8000000000000003,Apple,550,108,60-
3966,6,4,4,20.0,No,high,2.5,Dell,990,126,60~80
3967,6,3,7,34.0,No,low,3.2,Apple,520,129,60-
3968,7,5,2,27.0,Yes,high,3.4000000000000004,HP,500,107,60~80
3969,7,2,2,20.0,Yes,high,4.0,Asus,345,146,80+
3970,7,5,8,21.0,No,average,1.8,Apple,670,135,60~80
3971,6,6,1,32.0,Yes,low,3.6,Acer,820,123,60~80
3972,6,4,3,30.0,Yes,high,3.9000000000000004,Acer,300,140,80+
3973,5,14,7,24.0,No,high,3.8000000000000003,Apple,765,121,80+
3974,9,6,11,27.0,Yes,high,2.6,Acer,425,114,60-
3975,7,2,0,24.0,Yes,average,3.8000000000000003,Dell,390,143,80+
3976,8,3,0,20.0,No,high,2.1,Dell,525,113,60~80
3977,9,4,2,34.0,No,average,3.5,Acer,595,106,60~80
3978,8,7,4,30.0,No,high,2.5,Asus,430,138,60~80
3979,11,4,5,23.0,No,high,2.7,Dell,350,138,60-
3980,8,2,2,29.0,No,high,2.7,Leveno,165,148,60-
3981,7,3,12,35.0,No,low,3.4000000000000004,Apple,850,146,60-
3982,5,5,5,27.0,Yes,high,2.3000000000000003,Asus,680,133,60-
3983,9,3,13,21.0,No,average,3.4000000000000004,Apple,365,146,60-
3984,5,6,6,29.0,Yes,average,4.1000000000000005,Asus,515,132,80+
3985,12,5,2,26.0,No,average,3.6,Asus,160,145,80+
3986,8,5,3,26.0,No,high,2.8000000000000003,Apple,485,136,80+
3987,9,12,5,28.0,No,low,2.7,Dell,540,102,80+
3988,5,5,1,30.0,No,high,3.5,HP,535,110,60-
3989,6,5,0,32.0,No,high,1.9000000000000001,Dell,760,133,80+
3990,8,2,2,23.0,Yes,low,2.1,Leveno,480,118,80+
3991,10,3,6,23.0,No,average,3.0,Leveno,790,120,60-
3992,4,5,13,24.0,No,high,3.6,Acer,340,137,80+
3993,6,3,5,29.0,No,average,2.9000000000000004,Asus,415,114,60-
3994,7,6,0,25.0,Yes,low,2.1,Apple,405,136,60~80
3995,7,5,1,28.0,Yes,low,1.8,Dell,275,133,60-
3996,4,4,7,30.0,No,average,3.1,Leveno,600,110,60-
3997,6,2,2,27.0,No,low,3.9000000000000004,Acer,200,114,80+
3998,8,3,0,23.0,No,low,3.6,Leveno,765,109,80+
3999,8,6,9,22.0,Yes,high,3.7,Asus,615,144,80+
4000,7,2,0,30.0,No,average,2.7,Dell,725,165,80+
4001,7,4,3,26.0,Yes,average,3.7,Leveno,920,105,80+
4002,8,2,2,28.0,Yes,low,3.4000000000000004,Acer,215,105,80+
4003,8,3,0,26.0,Yes,average,3.6,HP,775,106,60-
4004,7,5,10,32.0,No,low,4.2,Asus,580,109,80+
4005,8,6,2,20.0,Yes,high,1.8,Acer,745,134,60-
4006,7,4,6,21.0,Yes,low,3.5,Asus,590,139,60-
4007,8,6,0,32.0,Yes,low,3.6,HP,605,142,60~80
4008,7,4,7,21.0,Yes,low,3.3000000000000003,Asus,0,132,60-
4009,6,5,0,24.0,Yes,average,4.0,HP,530,102,80+
4010,6,3,2,31.0,No,low,2.9000000000000004,HP,130,122,60-
4011,7,4,3,32.0,Yes,average,4.2,HP,640,104,80+
4012,7,3,2,22.0,No,low,2.1,Acer,475,110,80+
4013,6,4,1,31.0,Yes,high,2.0,Acer,390,122,60-
4014,8,3,0,23.0,No,low,4.1000000000000005,Leveno,110,111,80+
4015,4,10,2,22.0,Yes,average,3.5,Apple,0,137,60-
4016,8,1,0,21.0,No,high,2.1,Leveno,650,116,80+
4017,10,5,12,25.0,Yes,low,2.9000000000000004,Apple,445,103,60-
4018,7,3,1,26.0,Yes,low,2.5,HP,90,126,60~80
4019,9,3,2,32.0,No,high,2.3000000000000003,Acer,345,109,60~80
4020,8,4,7,25.0,Yes,average,1.8,Apple,720,112,60-
4021,7,3,9,19.0,No,average,4.3,Apple,300,100,80+
4022,6,3,1,30.0,No,average,3.0,Acer,260,131,60-
4023,6,2,0,24.0,No,low,2.7,Leveno,0,122,60~80
4024,7,4,3,21.0,Yes,low,2.5,Leveno,680,107,60~80
4025,6,7,13,33.0,No,low,3.4000000000000004,Dell,75,131,60-
4026,7,6,7,28.0,Yes,average,3.1,Acer,340,137,60-
4027,12,6,11,23.0,Yes,low,3.0,Acer,290,115,60-
4028,6,7,8,29.0,No,average,3.6,HP,615,127,60-
4029,12,3,4,22.0,Yes,average,4.3,Leveno,570,109,80+
4030,6,2,2,26.0,Yes,low,2.7,HP,410,146,80+
4031,6,7,6,30.0,Yes,average,3.5,Acer,110,130,60-
4032,11,4,3,34.0,Yes,low,4.0,Leveno,710,132,80+
4033,7,6,2,31.0,No,average,3.1,Apple,570,124,80+
4034,5,10,2,26.0,No,high,2.2,Leveno,725,100,80+
4035,7,4,9,22.0,No,high,3.2,Dell,0,124,60-
4036,6,5,10,22.0,No,high,3.3000000000000003,Dell,345,140,60~80
4037,7,7,0,27.0,No,high,2.8000000000000003,Asus,465,120,60-
4038,7,3,6,22.0,Yes,average,2.3000000000000003,HP,890,102,60-
4039,6,3,2,31.0,No,high,2.5,Dell,430,106,80+
4040,6,6,0,21.0,Yes,low,1.8,Leveno,875,110,60~80
4041,8,5,1,34.0,Yes,low,1.9000000000000001,HP,380,118,80+
4042,5,6,12,21.0,Yes,high,2.4000000000000004,HP,185,101,60-
4043,6,8,1,25.0,No,high,3.1,Asus,295,114,60~80
4044,7,7,7,20.0,No,average,3.9000000000000004,Asus,950,126,80+
4045,8,6,7,32.0,No,high,3.1,HP,180,142,60-
4046,7,7,0,25.0,Yes,low,4.2,Leveno,885,121,80+
4047,7,5,6,26.0,No,average,2.6,HP,415,101,60-
4048,9,6,10,35.0,Yes,high,2.7,Leveno,375,143,60-
4049,10,4,11,20.0,Yes,high,3.7,Dell,685,110,80+
4050,4,5,7,35.0,Yes,average,3.6,Acer,330,120,60-
4051,8,4,0,32.0,No,low,3.2,Dell,55,104,80+
4052,4,3,2,25.0,No,high,3.8000000000000003,Dell,250,119,80+
4053,8,6,0,34.0,Yes,average,3.5,Dell,205,105,60-
4054,7,4,3,27.0,Yes,average,2.5,Dell,705,125,80+
4055,12,3,0,24.0,Yes,high,3.1,Dell,990,111,60~80
